Unnamed: 0,bollinger_buy,bollinger_lower,bollinger_sell,bollinger_upper,macd_buy,macd_ema_diff,macd_signal_line,market_cap,price,rolling_mean,rolling_mean_buy,rolling_mean_sell,rsi,rsi_buy,rsi_sell,snapped_at,total_volume
361.0,False,390.6069988316257,False,549.4045745017072,True,-6.7842299109977375,481.5735143922257,,458.8067,466.11074999999886,True,False,57.557703199674215,False,False,2014-04-25,44062361.807458505
362.0,False,395.7413490290432,False,536.6808909709565,True,-8.42252068584645,476.0188115137808,,453.8,465.76560999999884,True,False,56.3543413918807,False,False,2014-04-26,11997979.8675589
363.0,False,394.28418245919687,False,533.7554308741359,True,-10.876751683965326,468.39936921102463,,437.9216,464.77208999999885,True,False,54.23941949068872,False,False,2014-04-27,9760121.83496358
364.0,False,392.9741745428032,False,530.7066387905297,True,-12.755530367004669,462.10349536881967,,436.92,464.0948999999991,True,False,45.482303737636954,False,False,2014-04-28,20781687.976832602
365.0,False,391.8297637019588,False,530.0731829647075,True,-13.575593091699545,458.3367962950558,,443.27,464.248484999999,True,False,27.802472730129523,True,False,2014-04-29,15011935.551518695
366.0,False,391.18049018237195,False,529.8956431509612,True,-13.925634336498089,455.6687970360447,,444.9968,468.456289999999,True,False,24.61828987834129,True,False,2014-04-30,13054745.6836081
367.0,False,390.71130080084185,False,528.7898325324911,True,-13.235927228161133,455.55329762883565,,455.0913,470.20803999999896,True,False,36.07377212380758,False,False,2014-05-01,11953625.1349763
368.0,False,391.14071120597913,False,528.7576487940206,True,-13.471505679142805,453.1373181030686,,443.4734,471.348709999999,True,False,37.27575577862221,False,False,2014-05-02,8165770.14787406
369.0,False,390.20602253728407,False,528.822410796049,True,-14.255610668610814,449.3165144824549,,434.0333,472.3028999999988,True,False,22.486650453786783,True,False,2014-05-03,9446958.63551764
370.0,False,389.17947204806205,False,528.8532279519377,True,-14.71466830231236,446.24185158596396,,433.9432,471.11836999999895,True,False,23.27258342182796,True,False,2014-05-04,5229830.63097204
371.0,False,387.1826197690522,False,528.4667602309477,True,-15.294899003334196,442.8087012687712,,429.0761,466.566009999999,True,False,23.228949703569132,True,False,2014-05-05,8567756.39235356
372.0,False,385.16058770483085,False,528.2261656285021,True,-15.75968375195987,439.59964101501686,,426.7634,461.4460549999991,True,False,24.358339402767648,True,False,2014-05-06,10822749.124633301
373.0,False,384.26521280411936,False,527.8887405292137,True,-14.944163156131768,439.5397128120137,,439.3,458.691054999999,True,False,30.41821574923624,False,False,2014-05-07,16360711.036365198
374.0,False,383.52858733187134,False,527.7519993347952,True,-14.289413251638052,439.1044302496109,,437.3633,456.647659999999,True,False,25.951990183037,True,False,2014-05-08,8491458.54602885
375.0,False,383.93821647829367,False,527.828703521706,True,-12.805499072885196,440.7822041996888,,447.4933,453.94474999999915,True,False,43.916820447966,False,False,2014-05-09,8820053.29316331
376.0,False,396.544125202593,False,521.3337481307399,True,-11.097162903516164,443.1267633597509,,452.505,451.7041149999991,False,True,49.30372001694728,False,False,2014-05-10,5529665.18679125
377.0,False,398.2085835070454,False,520.7510898262874,True,-10.926298236306367,441.7580706878009,,436.2833,448.88461499999886,True,False,49.12237846524708,False,False,2014-05-11,11522907.034093905
378.0,False,400.08490781402435,False,520.110098852642,True,-10.436040183805119,441.2444565502407,,439.19,446.60144999999886,True,False,51.19169363289115,False,False,2014-05-12,5903393.67434933
379.0,False,402.62140094045526,False,519.0639723928776,True,-10.083376009522908,440.45656524019256,,437.305,444.09044999999895,True,False,46.714497849689806,False,False,2014-05-13,5619474.10898487
380.0,False,401.8689883476762,False,518.9239116523233,True,-9.138408055204707,441.21459219215416,,444.2467,441.58911999999884,False,True,49.60929239263483,False,False,2014-05-14,6764834.29138491
381.0,False,403.6187021603935,False,512.1159778396061,True,-8.293643896634022,441.82167375372336,,444.25,440.8612849999989,False,True,43.689676407691145,False,False,2014-05-15,6219944.38500291
382.0,False,407.8273245993503,False,502.307522067316,True,-7.464285722293653,442.4903390029786,,445.165,440.429534999999,False,True,51.12475797357389,False,False,2014-05-16,5292980.73069865
383.0,False,408.5146356068114,False,498.3837643931883,True,-6.674533469208767,443.1629312023829,,445.8533,440.82611999999915,False,True,58.89436028329514,False,False,2014-05-17,2642092.21300579
384.0,False,408.2601873667645,False,496.3703526332351,True,-6.110544855319404,443.37300496190636,,444.2133,441.19078499999915,False,True,57.55193282007162,False,False,2014-05-18,7828552.78174351
385.0,False,410.3798384980414,False,490.405268168625,True,-5.626423350359744,443.4724039695252,,443.87,441.2207849999992,False,True,61.65375035251376,False,False,2014-05-19,11697296.0196285
386.0,False,411.89189210045686,False,487.96648123287605,True,-2.0282845832222733,451.4612631756201,,483.4167,443.141779999999,False,True,78.12787034030507,False,True,2014-05-20,59415447.4829202
387.0,False,412.34436320076173,True,487.25390346590456,True,1.2410638478194755,458.9233505404961,,488.7717,444.825799999999,False,True,76.44835450590269,False,True,2014-05-21,20125942.2524611
388.0,False,406.80818514085365,True,495.3070815258127,True,6.487591947947976,471.66034043239694,,522.6083,448.78254499999895,False,True,83.98245963723342,False,True,2014-05-22,28758404.0073102
389.0,False,402.1717418033776,True,502.406858196622,True,10.673097531262954,482.22327234591756,,524.475,453.304629999999,False,True,82.8527581965779,False,True,2014-05-23,30253343.7004326
390.0,False,398.8759174081848,True,507.6250159251483,True,13.721684554871445,490.40027787673415,,523.1083,457.762884999999,False,True,81.09819964815748,False,True,2014-05-24,10236386.6842894
391.0,False,387.9711793877368,True,525.9010872789296,True,19.64473268385359,506.1955623013873,,569.3767,464.77791499999915,False,True,96.35352743108619,False,True,2014-05-25,43762384.55551311
392.0,False,378.9223751826661,True,543.3380048173336,True,24.878690817000862,520.8807898411098,,579.6217,472.420829999999,False,True,96.53085419183479,False,True,2014-05-26,26174591.715237804
393.0,False,374.8324626500617,True,556.1981440166047,True,27.88642906015605,530.5996318728878,,569.475,478.92957999999913,False,True,91.5202238705632,False,True,2014-05-27,33059214.236353002
394.0,False,372.13501346609263,True,567.8711465339071,True,30.09091538672892,538.7903654983103,,571.5533,485.639079999999,False,True,91.25294880103694,False,True,2014-05-28,15739188.2859884
395.0,False,370.8088991456996,False,577.3299275209669,True,30.973130994308967,544.0842923986482,,565.26,491.527414999999,False,True,87.67669219752159,False,True,2014-05-29,14362990.944118695
